DATE,PRODUCTION_WH
2017-01-15,1743.0
2017-01-16,3331.0
2017-01-17,8291.0
2017-01-18,14215.0
2017-01-19,17149.0
2017-01-20,18356.0
2017-01-21,17861.0
2017-01-22,16334.0
2017-01-23,2975.0
2017-01-24,2424.0
2017-01-25,2030.0
2017-01-26,12613.0
2017-01-27,8974.0
2017-01-28,9962.0
2017-01-29,6158.0
2017-01-30,895.0
2017-01-31,2285.0
2017-02-01,4079.0
2017-02-02,8089.0
2017-02-03,5188.0
2017-02-04,1556.0
2017-02-05,4261.0
2017-02-06,12166.0
2017-02-07,1582.0
2017-02-08,957.0
2017-02-09,2230.0
2017-02-10,2608.0
2017-02-11,2047.0
2017-02-12,3222.0
2017-02-13,21431.0
2017-02-14,21526.0
2017-02-15,16667.0
2017-02-16,13767.0
2017-02-17,3235.0
2017-02-18,13995.0
2017-02-19,12904.0
2017-02-20,1775.0
2017-02-21,2810.0
2017-02-22,1483.0
2017-02-23,4421.0
2017-02-24,9546.0
2017-02-25,16184.0
2017-02-26,4958.0
2017-02-27,4430.0
2017-02-28,11750.0
2017-03-01,6022.0
2017-03-02,13666.0
2017-03-03,7885.0
2017-03-04,6376.0
2017-03-05,15310.0
2017-03-06,4518.0
2017-03-07,14875.0
2017-03-08,2430.0
2017-03-09,6170.0
2017-03-10,27229.0
2017-03-11,23929.0
2017-03-12,28001.0
2017-03-13,25186.0
2017-03-14,27301.0
2017-03-15,19236.0
2017-03-16,28707.0
2017-03-17,12214.0
2017-03-18,2565.0
2017-03-19,6035.0
2017-03-20,7482.0
2017-03-21,16089.0
2017-03-22,32308.0
2017-03-23,30244.0
2017-03-24,17406.0
2017-03-25,33156.0
2017-03-26,32946.0
2017-03-27,34440.0
2017-03-28,32634.0
2017-03-29,10969.0
2017-03-30,26292.0
2017-03-31,23158.0
2017-04-01,7065.0
2017-04-02,34275.0
2017-04-03,18866.0
2017-04-04,29206.0
2017-04-05,14173.0
2017-04-06,10757.0
2017-04-07,23339.0
2017-04-08,21628.0
2017-04-09,36220.0
2017-04-10,11549.0
2017-04-11,24748.0
2017-04-12,27565.0
2017-04-13,23683.0
2017-04-14,15311.0
2017-04-15,6936.0
2017-04-16,15576.0
2017-04-17,12916.0
2017-04-18,18592.0
2017-04-19,37444.0
2017-04-20,38392.0
2017-04-21,13623.0
2017-04-22,14299.0
2017-04-23,25196.0
2017-04-24,32893.0
2017-04-25,24980.0
2017-04-26,25300.0
2017-04-27,22017.0
2017-04-28,17956.0
2017-04-29,27060.0
2017-04-30,40375.0
2017-05-01,11342.0
2017-05-02,23144.0
2017-05-03,13732.0
2017-05-04,8957.0
2017-05-05,12579.0
2017-05-06,37947.0
2017-05-07,14837.0
2017-05-08,8660.0
2017-05-09,42193.0
2017-05-10,41860.0
2017-05-11,29608.0
2017-05-12,26939.0
2017-05-13,24329.0
2017-05-14,32857.0
2017-05-15,39593.0
2017-05-16,34969.0
2017-05-17,37327.0
2017-05-18,11877.0
2017-05-19,10182.0
2017-05-20,18415.0
2017-05-21,35454.0
2017-05-22,39919.0
2017-05-23,32072.0
2017-05-24,32991.0
2017-05-25,38732.0
2017-05-26,42364.0
2017-05-27,42502.0
2017-05-28,33278.0
2017-05-29,36388.0
2017-05-30,19351.0
2017-05-31,32333.0
2017-06-01,38789.0
2017-06-02,38631.0
2017-06-03,26462.0
2017-06-04,29444.0
2017-06-05,32671.0
2017-06-06,22032.0
2017-06-07,23870.0
2017-06-08,31968.0
2017-06-09,21089.0
2017-06-10,34611.0
2017-06-11,35692.0
2017-06-12,23492.0
2017-06-13,27307.0
2017-06-14,42561.0
2017-06-15,34546.0
2017-06-16,24161.0
2017-06-17,21745.0
2017-06-18,38107.0
2017-06-19,41680.0
2017-06-20,38844.0
2017-06-21,37647.0
2017-06-22,35486.0
2017-06-23,25657.0
2017-06-24,16346.0
2017-06-25,20114.0
2017-06-26,19622.0
2017-06-27,11127.0
2017-06-28,10130.0
2017-06-29,25479.0
2017-06-30,24602.0
2017-07-01,3837.0
2017-07-02,11459.0
2017-07-03,33386.0
2017-07-04,20194.0
2017-07-05,38446.0
2017-07-06,26621.0
2017-07-07,38517.0
2017-07-08,32618.0
2017-07-09,39696.0
2017-07-10,26004.0
2017-07-11,23506.0
2017-07-12,11861.0
2017-07-13,39722.0
2017-07-14,33990.0
2017-07-15,24135.0
2017-07-16,11266.0
2017-07-17,12589.0
2017-07-18,38864.0
2017-07-19,20191.0
2017-07-20,20350.0
2017-07-21,40440.0
2017-07-22,30789.0
2017-07-23,16574.0
2017-07-24,19042.0
2017-07-25,22961.0
2017-07-26,32943.0
2017-07-27,19344.0
2017-07-28,24070.0
2017-07-29,23418.0
2017-07-30,26299.0
2017-07-31,26778.0
2017-08-01,15659.0
2017-08-02,14066.0
2017-08-03,18746.0
2017-08-04,16203.0
2017-08-05,18350.0
2017-08-06,36918.0
2017-08-07,37746.0
2017-08-08,5075.0
2017-08-09,26716.0
2017-08-10,4223.0
2017-08-11,13023.0
2017-08-12,5998.0
2017-08-13,26541.0
2017-08-14,35536.0
2017-08-15,11001.0
2017-08-16,26659.0
2017-08-17,8245.0
2017-08-18,9245.0
2017-08-19,20762.0
2017-08-20,26435.0
2017-08-21,15842.0
2017-08-22,24453.0
2017-08-23,33999.0
2017-08-24,23616.0
2017-08-25,24602.0
2017-08-26,18495.0
2017-08-27,27222.0
2017-08-28,30377.0
2017-08-29,33027.0
2017-08-30,16612.0
2017-08-31,21772.0
2017-09-01,22206.0
2017-09-02,28487.0
2017-09-03,29756.0
2017-09-04,9026.0
2017-09-05,12835.0
2017-09-06,17699.0
2017-09-07,12832.0
2017-09-08,4036.0
2017-09-09,11847.0
2017-09-10,16790.0
2017-09-11,21800.0
2017-09-12,14169.0
2017-09-13,14600.0
2017-09-14,16465.0
2017-09-15,15645.0
2017-09-16,28169.0
2017-09-17,25778.0
2017-09-18,19700.0
2017-09-19,16884.0
2017-09-20,25119.0
2017-09-21,25974.0
2017-09-22,14782.0
